,line,nuclear_cost,CO2,onwind_cost,offwind_cost,solar_cost,onwind_potential,solar_potential,nuclear_inv_NO,nuclear_cap_NO,nuclear_prod_NO,onwind_inv_NO,onwind_cap_NO,onwind_prod_NO,solar_inv_NO,solar_cap_NO,solar_prod_NO,offwind_inv_NO,offwind_cap_NO,offwind_NO,nuclear_inv_EU,nuclear_cap_EU,nuclear_prod_EU,onwind_inv_EU,onwind_cap_EU,onwind_prod_EU,solar_inv_EU,solar_cap_EU,solar_prod_EU,offwind_inv_EU,offwind_cap_EU,offwind_EU,offwind_prod_NO,offwind_prod_EU
elec_s_100_lc1.5__Co2L0.1-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-solar+c1.3-nuclear+c0.7_2050.nc,1.5,0.7,0.1,1.0,1.0,1.3,1.0,1,3155.6252833201643,0.006378340094212314,138.31379999028056,1495685972.4492397,13673.322082913523,32397314.01189484,7641755.734103148,130.8568148433142,122802.30748865081,1838449.635622619,8.383313295263347,36932.183758834195,65117267628.79789,131618.9476417551,3402600391.590235,140808310732.28717,1287247.0692766844,3462520722.475774,48077026845.54887,823267.1677882911,1133045541.0391154,18185466508.41776,85403.1050459689,345249201.11896616,36932.183758834195,345249201.11896616
elec_s_100_lc1.25__Co2L0.15-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.5_2050.nc,1.25,0.5,0.15,1.0,1.0,1.0,1.0,1,6567.981115254295,0.018585839234349796,459.52916438001233,850157757.1131902,7772.0063224638725,17550135.701619968,402294726.64806354,8382.721722462968,9118824.108968677,228146.30153666946,1.1162542123405914,3150.477533353899,101264067336.51978,286553.4542055485,7484578010.860318,85494790087.8211,781579.7051085423,2285825621.0863943,38719865510.58006,806816.0883210683,1159522062.137725,5143743813.331675,25309.79217263131,100079309.79614002,3150.477533353899,100079309.79614002
elec_s_100_lc1.25__Co2L0.1-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-solar+c1.3-nuclear+c0.9_2050.nc,1.25,0.9,0.1,1.0,1.0,1.3,1.0,1,2333.048729371172,0.0036677657063436753,71.54688889061025,1695549646.778214,15500.443846514432,36180645.924379885,139862029.669104,2394.986225265418,2598048.4255439327,3604552.425499558,16.79678783109948,66223.61559951403,10561581584.726755,16603.77096009161,432053571.7137447,164255392928.57556,1501596.5468273794,3828900308.2393203,79562459294.6736,1362421.1983038106,1732855013.5174081,22480463246.14527,105166.78599131954,411843871.9096882,66223.61559951403,411843871.9096882
elec_s_100_lc1.5__Co2L0.15-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-onwind+c1.3-offwind+c1.3-nuclear+c0.6_2050.nc,1.5,0.6,0.15,1.3,1.3,1.0,1.0,1,3184.545873400826,0.007509595490458945,181.7829880844373,442558440.37287307,3202.0045301599625,5053969.346679468,939690769.4846265,19580.58533699808,21054339.646201152,294675.6621708262,1.1090086708712312,3130.420771240587,110487536925.54028,260544.75018815984,6796012104.764819,80128253298.558,579744.9707198362,1692886550.9089334,64055458131.391754,1334740.5390925712,1926207179.0663905,6610688769.037855,24992.954852801966,100394725.22356644,3130.420771240587,100394725.22356644
elec_s_100_lc1.5__Co2L0.15-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-solar+c1.3-nuclear+c0.7_2050.nc,1.5,0.7,0.15,1.0,1.0,1.3,1.0,1,10626.094393644235,0.02147810269936578,439.88484412907457,1265429244.4345744,11568.351880681324,27444553.67373107,7641780.149914122,130.85723293771122,122867.2225207527,246590.78048829254,1.2024138988245945,3470.3554443342746,65625833324.11227,132646.891289599,3465330942.889879,132843407048.19566,1214433.1929429849,3233326204.2484865,52221088934.617424,894229.756015025,1232459924.0647187,19254946091.521393,90588.57628129667,366921545.8768924,3470.3554443342746,366921545.8768924
elec_s_100_lc1.5__Co2L0-2000SEG-T-H-B-I-A-dist1-EQ0.9c-nuclear+c0.9_2050.nc,1.5,0.9,0.0,1.0,1.0,1.0,1.0,1,4171.129662316015,0.006557396825688691,129.78626247749298,3118588207.729426,28509.63490580415,71074805.61965474,1494160663.910457,31134.221317221356,32576174.260494817,246361008.3402807,1060.7327825794416,4916766.543934874,6786457212.582516,10668.930622202548,279099141.15063864,219104061902.5667,2003014.311328035,4985435285.466989,116907793093.38377,2436038.6347953435,2992108605.118751,37519669964.6416,174474.30901291492,707000960.7018628,4916766.543934874,707000960.7018628
elec_s_100_lc1.25__Co2L0.05-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-onwind+c1.3-offwind+c1.3-nuclear+c0.9_2050.nc,1.25,0.9,0.05,1.3,1.3,1.0,1.0,1,4982.6352045708045,0.00783315766210816,155.07163083809507,902850965.1198946,6532.318936087787,13986218.31143898,563905276.4473389,11750.243533323599,12635113.817248885,298051.4813919511,1.1219716132977522,3160.2024232211306,13966991903.808718,21957.38703639371,556665897.416915,157830890126.8618,1141940.0898999735,3068480154.3218083,146409976070.92154,3050783.4318909165,4024202270.85746,15316461173.83786,56661.83477546957,231584943.4863363,3160.2024232211306,231584943.4863363
elec_s_100_lc1.5__Co2L0-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.6_2050.nc,1.5,0.6,0.0,1.0,1.0,1.0,1.0,1,7731.346774841947,0.018231574982314504,424.298991405611,3095172912.5849376,28295.57602040002,70573178.9436548,1234423355.6708965,25722.006262713374,27418435.851023868,1840950.876379649,8.395491037917068,37284.81301595763,84363519509.30864,198940.73781697065,5138715838.633472,147958095266.04318,1352609.256630352,3662729781.36791,104514811374.16104,2177802.793800347,3125147867.4498515,13779228080.421272,66751.69585928062,274311402.69428086,37284.81301595763,274311402.69428086
elec_s_100_lc1.25__Co2L0-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-solar+c1.3-nuclear+c0.6_2050.nc,1.25,0.6,0.0,1.0,1.0,1.3,1.0,1,24371.825242948176,0.05747210315524344,1469.939048122006,3095172942.1781855,28295.576290936762,71175966.70657803,313037487.6412052,5360.428936045933,5840190.562741138,244583733.73265547,1052.264876750539,4752581.1511262525,119215034979.77342,281125.3863719518,7364288895.935908,152571801189.283,1394787.018704967,3776068699.7491016,79453404423.50337,1360553.7514001103,2024442416.677392,23025125718.90861,109117.63133738117,460895640.56199205,4752581.1511262525,460895640.56199205
elec_s_100_lc1.25__Co2L0.1-2000SEG-T-H-B-I-A-solar+p3-dist1-EQ0.9c-nuclear+c0.7_2050.nc,1.25,0.7,0.1,1.0,1.0,1.0,1.0,1,3351.0263347403993,0.006773296481243669,139.4597689338667,1021863178.975456,9341.70984295669,21534246.46559322,258161067.16646558,5379.370501974662,5847916.987089386,233519.53671955082,1.1411558600733263,3251.1201186322673,50675372236.25344,102428.11788589512,2622182618.618862,123305840762.55101,1127242.2864873975,3024816960.5265183,69299617593.40826,1444014.478138665,1938306256.289717,16485588999.840994,77907.2353048257,313399573.6605072,3251.1201186322673,313399573.6605072
